 State , District ,Un-irrigated net sown area as share of total net sown area,,Area under horticulture crops as a share of gross cropped area (%),,Score on water scarcity index (max-1),,Monthly per capita expenditure of rural agricultural households (INR),,Crop revenue per holding (INR),,"No of rural and semi-urban bank branches per 10,000 cultivators",,Medium and long term institutional credit disbursed in a year (in INR Crore),,"Level of farm mechanisation (tractors,harvesters, threshers per ha)",,Proportion of small and marginal cultivators,,Climate Resilient Score by CRIDA,,Summary Text
 Karnataka , Chikmagalur ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,,,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Chitradurga ,,,,,,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.",,,,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Dakshina Kannada ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,,,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Davanagere ,,,,,,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.",,,,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,,,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Dharwad ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,"The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.",,,,,,,,,,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Gadag ,,,,,,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.","The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,,,,,,,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Gulbarga ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,,,,,,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Hassan ,,,,,,,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,,,The district has a relatively high proportion of small and marginal farmers.,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Haveri ,,,,,,,,,,,,,,,,,,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Kodagu ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,"The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,,,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Kolar ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.",,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,,,The district has a relatively high proportion of small and marginal farmers.,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Koppal ,,,,,,,,,,,,,,,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Mandya ,,,,,,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.","The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,"It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. ",,,,,The district has a relatively high proportion of small and marginal farmers.,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Mysore ,,,,,,,,,,,,,,,,,The district has a relatively high proportion of small and marginal farmers.,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Raichur ,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,,,,,,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Ramanagara ,,,,,,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.",,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Shimoga ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,,,,,,,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Tumkur ,,,,,,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.",,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,,,,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"Overall, the water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is critical since the resource is overexploited, jeopardizing the long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Udupi ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Uttara Kannada ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Karnataka , Yadgir ,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.",,,,,,,,"It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. ",,,,,,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Kerala , Alappuzha ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Kerala , Ernakulam ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Kerala , Idukki ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Kerala , Kannur ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Kerala , Kasaragod ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,,,,,,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Kerala , Kollam ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.",,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively large, suggesting the availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers."
